"EDUC_MINHS","EDUC_HSONLY","EDUC_MINBA","EDUC_SOMECOLL","EDUC_MIN9TH","EDUC_MINHS_WHITE","EDUC_MINBA_WHITE","EDUC_MINHS_BLACK","EDUC_MINBA_BLACK","EDUC_MINHS_LATINO","EDUC_MINBA_LATINO","EDUC_MINHS_WHITENH","EDUC_MINBA_WHITENH","RACE_HISP","RACE_WHITENH","RACE_BLACKNH","RACE_ASIANNH","RACE_OTHERNH","RACE_MULTIPLENH","BIRTH_FOREIGN","GEOID10"
0.9340247767,0.0996830884,0.6862575627,0.1480841256,0.9645635264,0.9990412272,0.8048897411,0.5407407407,0.1074074074,0.8161559889,0.4540389972,0.9989462592,0.8066385669,0.1075344063,0.5239094938,0.0774434336,0.1980405878,0.0188943317,0.0741777467,0.2027058549,6001401100
0.9324200913,0.0415525114,0.6849315068,0.2059360731,0.9680365297,0.9704142012,0.7712031558,0.780876494,0.3505976096,0.9458483755,0.4873646209,0.9780541331,0.7724945135,0.1218022146,0.6101565483,0.1126384116,0.1149293624,0.0007636502,0.0397098129,0.1550210004,6001401200
0.875659824,0.1360703812,0.4985337243,0.2410557185,0.9351906158,0.9121027721,0.6504394861,0.9090009891,0.3264094955,0.8107255521,0.4006309148,0.9332355099,0.667644901,0.1012496812,0.3840856924,0.285131344,0.1675592961,0.0061208875,0.0558530987,0.1971435858,6001401300
0.8349460879,0.1509538291,0.3978435167,0.2861487421,0.9228642521,0.9156804734,0.6789940828,0.8091809181,0.1602160216,0.6912650602,0.3493975904,0.9112903226,0.732078853,0.1895604396,0.2573964497,0.3193153001,0.1204564666,0.0295857988,0.0836855452,0.2062552832,6001401400
0.8997440273,0.1894197952,0.42278157,0.2875426621,0.9872013652,0.9812438302,0.6495557749,0.8085365854,0.1280487805,0.8518518519,0.4511784512,0.9884575026,0.6736621196,0.1412469179,0.3691440648,0.3733709052,0.0454385347,0.0084536809,0.0623458964,0.1373723142,6001401500
0.8729344729,0.1339031339,0.4381766382,0.3008547009,0.9333333333,0.9903581267,0.7066115702,0.8908045977,0.1724137931,0.7635327635,0.3760683761,0.9882352941,0.7378151261,0.2005242464,0.2865880297,0.3591087811,0.1044124072,0.0091743119,0.0401922237,0.2262996942,6001401600
0.9379591837,0.0726530612,0.5665306122,0.2987755102,0.9673469388,0.9504373178,0.6603498542,1,0.2103321033,0.7684391081,0.2830188679,0.9848619768,0.7266251113,0.2664015905,0.388667992,0.1703114645,0.1192842942,0.0023194168,0.0530152419,0.1709741551,6001401700
0.9102281089,0.200147167,0.4422369389,0.2678440029,0.97866078,0.9896907216,0.735395189,0.9382978723,0.2446808511,0.690376569,0.10041841,0.9963570128,0.7577413479,0.202665186,0.3348139922,0.3820099944,0.0549694614,0.01332593,0.0122154359,0.1521377013,6001401800
0.8696145125,0.1524943311,0.4659863946,0.2511337868,0.9302721088,0.9427012278,0.6603001364,0.9451371571,0.2094763092,0.5969581749,0.2661596958,1,0.7140695915,0.1622930965,0.2987484861,0.3177230521,0.163504239,0.0125151393,0.0452159871,0.1877270892,6001402200
0.8578901482,0.1368788143,0.4328683522,0.2881429817,0.9088927637,0.9664233577,0.6160583942,0.8734177215,0.3372513562,0.66875,0.55,0.9873617694,0.6082148499,0.0914166085,0.241102582,0.4839497558,0.1263084438,0.0034891835,0.0537334264,0.1325889742,6001402400
0.850678733,0.3058823529,0.2199095023,0.3248868778,0.9466063348,1,0.56875,0.8711656442,0.1211656442,0.8666666667,0.1925925926,1,0.5664335664,0.1476698484,0.1089275688,0.5839416058,0.1330713083,0,0.0263896687,0.1454239191,6001402500
0.7567567568,0.2062062062,0.3013013013,0.2492492492,0.8458458458,0.8173913043,0.4347826087,0.8233082707,0.2142857143,0.618705036,0.2446043165,0.9694656489,0.6183206107,0.164923572,0.144006436,0.2590506838,0.3869670153,0.0048270314,0.0402252615,0.4859211585,6001402600
0.8950036206,0.1368573497,0.4808110065,0.2773352643,0.9608979001,0.9356223176,0.6030042918,0.9185185185,0.3537037037,0.831372549,0.4549019608,0.9696202532,0.6607594937,0.2058201058,0.2322751323,0.4227513228,0.1084656085,0.0132275132,0.0174603175,0.1751322751,6001402700
